Segments
100
,,Stap:segment,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
1,0,34.3603,64.4376,-33.4968,-211.004,-745.057,1187.61
2,0,33.9723,64.4467,-33.2987,-211.549,-745.473,1186.23
3,0,34.0741,64.3563,-33.5369,-213.254,-745.913,1184.38
4,0,33.7186,64.1913,-33.3036,-213.953,-746.33,1182.96
5,0,33.2898,64.0355,-33.2917,-214.698,-746.776,1181.53
6,0,32.836,63.8587,-33.1989,-215.454,-747.187,1180.01
7,0,32.4208,63.5826,-33.098,-216.238,-747.669,1178.53
8,0,31.846,63.5163,-32.9427,-216.682,-747.929,1176.97
9,0,31.5134,62.9621,-32.6203,-217.21,-748.24,1175.7
10,0,30.8619,62.9132,-32.7195,-217.337,-748.371,1174.28
11,0,30.6231,62.1844,-32.4099,-217.598,-748.602,1173.08
12,0,26.3771,66.7522,-39.2432,-217,-748.224,1171.71
13,0,30.2498,60.2585,-30.8576,-217.821,-749.25,1170.37
14,0,24.0005,66.9194,-41.3324,-219.39,-751.753,1170.24
15,0,24.3798,65.3712,-39.6637,-219.271,-751.477,1169.12
16,0,23.0975,65.7221,-40.7765,-219.174,-751.76,1169.23
17,0,24.781,62.7166,-36.8306,-218.285,-750.677,1169.05
18,0,24.4881,62.1339,-36.5089,-217.686,-750.176,1169.87
19,0,24.8711,60.6771,-34.8676,-216.621,-749.027,1171.05
20,0,23.5205,61.7313,-37.0599,-216,-748.6,1172.92
21,0,23.1552,61.5594,-37.3455,-214.947,-747.617,1175.26
22,0,23.851,60.0204,-35.5696,-213.555,-745.992,1178.03
23,0,23.2369,60.2472,-36.605,-212.627,-744.879,1181.86
24,0,22.9743,60.3329,-37.0138,-211.361,-743.197,1186.26
25,0,23.5005,59.5326,-35.8015,-209.705,-740.858,1191.51
26,0,23.9889,59.1741,-35.0744,-208.144,-738.377,1197.64
27,0,23.9233,59.7479,-35.678,-206.515,-735.77,1204.86
28,0,25.7212,58.122,-32.8448,-204.373,-732.141,1212.55
29,0,25.1567,59.765,-34.7875,-202.743,-729.374,1221.64
30,0,26.2116,59.4931,-33.5258,-200.698,-725.744,1230.98
31,0,26.4557,60.3131,-33.9454,-199.111,-722.732,1241.43
32,0,27.8135,59.6543,-31.9354,-197.139,-719.093,1252.07
33,0,27.464,61.4239,-33.3698,-195.448,-716.269,1263.34
34,0,28.8381,60.7834,-31.5985,-193.271,-712.675,1275.02
35,0,29.0605,61.6658,-31.9392,-191.14,-709.589,1287.46
36,0,29.9843,62.0401,-31.5055,-188.664,-706.3,1300.13
37,0,30.6859,62.7623,-31.5971,-186.264,-703.137,1313.58
38,0,32.0244,62.7949,-30.4937,-183.446,-699.673,1327.42
39,0,-3.58786,98.2051,-85.628,-180.858,-690.89,1341.95
40,0,35.2316,63.0412,-28.5226,-176.861,-690.908,1357.23
41,0,36.2118,64.0672,-28.2384,-173.968,-688.572,1372.66
42,0,39.7854,61.5191,-23.7887,-171.67,-687.051,1388.11
43,0,41.3666,61.8257,-22.7868,-168.94,-685.308,1404.03
44,0,42.7789,62.4054,-22.0756,-165.981,-683.667,1420.14
45,0,44.1571,62.9944,-21.4808,-163.072,-682.313,1436.54
46,0,45.3108,64.0207,-21.1178,-160.043,-681.151,1453.05
47,0,46.5098,65.0897,-20.9255,-157.015,-680.402,1469.8
48,0,49.3755,62.9269,-16.9354,-152.03,-681.406,1487.21
49,0,50.7624,63.9716,-16.5989,-148.803,-681.431,1504.38
50,0,47.2642,72.9732,-23.8442,-147.873,-680.778,1521.35
51,0,45.2987,78.6958,-27.3198,-144.714,-682.137,1538.76
52,0,48.6816,77.4614,-24.7662,-141.112,-683.009,1556.08
