Segments
100
,,Stap:segment,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
1,0,15.1804,65.6891,-31.0318,-146.338,-756.643,1072.64
2,0,14.3618,64.4506,-30.5417,-146.408,-760.286,1067.03
3,0,13.4972,63.1243,-29.7466,-146.205,-763.695,1061.38
4,0,12.4877,61.8346,-29.3266,-145.793,-766.903,1056.09
5,0,11.6428,60.5965,-28.8776,-145.287,-769.742,1051.26
6,0,10.8563,59.4984,-28.5654,-144.556,-772.088,1047.02
7,0,10.1867,58.6129,-28.3695,-143.676,-773.982,1043.58
8,0,9.64025,57.7513,-28.0861,-142.632,-775.35,1040.86
9,0,8.96942,57.1451,-27.8951,-141.25,-776.132,1038.69
10,0,8.44288,56.2389,-27.5102,-140.094,-776.617,1037.52
11,0,7.92451,55.3733,-27.1931,-138.866,-776.61,1037.11
12,0,7.46029,54.5332,-26.877,-137.477,-775.689,1037.68
13,0,7.30331,53.7624,-26.817,-136.27,-774.16,1039.45
14,0,7.38881,53.3427,-26.6877,-135.105,-771.796,1042.51
15,0,7.57899,53.181,-26.5084,-133.778,-768.559,1046.93
16,0,7.90979,53.3081,-26.3631,-132.493,-764.657,1052.18
17,0,8.42507,53.3575,-26.1232,-131.479,-760.321,1058.58
18,0,9.01519,53.4045,-25.9523,-130.453,-755.703,1065.85
19,0,9.50233,53.457,-25.4707,-129.367,-750.747,1074.03
20,0,9.84309,53.6298,-25.1315,-128.179,-745.459,1082.93
21,0,10.2241,53.7754,-24.8879,-127.035,-739.735,1092.67
22,0,10.7912,53.7825,-24.4913,-125.553,-733.667,1103.52
23,0,11.4899,53.9159,-24.2098,-124.045,-727.1,1115.26
24,0,12.3425,54.104,-23.9823,-122.576,-720,1128.19
25,0,13.2444,54.6939,-24.0695,-120.889,-712.56,1142.33
26,0,14.356,55.4236,-23.9539,-119.092,-704.598,1157.61
27,0,15.5475,56.389,-23.9359,-117.129,-696.478,1173.92
28,0,16.903,57.4877,-24.0722,-115.172,-688.415,1191.08
29,0,18.2872,58.5552,-24.071,-113.033,-680.124,1209.05
30,0,19.6575,59.6984,-23.9377,-110.645,-671.953,1227.99
31,0,21.2651,60.9162,-23.6214,-108.143,-663.929,1247.69
32,0,22.9813,62.2781,-23.5352,-105.435,-656.096,1268.22
33,0,61.8997,-2.86388,59.5884,-96.8559,-640.913,1282.66
34,0,26.847,65.244,-22.7866,-98.9503,-641.104,1311.53
35,0,28.6744,66.9516,-22.8317,-95.2643,-634.198,1334.14
36,0,30.7141,68.8109,-22.7383,-91.5027,-627.923,1357.27
37,0,32.9084,70.878,-22.4187,-87.3516,-622.264,1380.75
38,0,53.7773,47.076,7.20482,-81.0182,-614.143,1404.51
39,,,,,,,
40,0,52.6323,61.2712,-3.3894,-71.9374,-607.752,1453.49
41,0,55.5327,62.8371,-3.13612,-66.6811,-605.42,1477.99
42,0,57.9661,64.9699,-3.64087,-61.234,-603.99,1502.42
43,0,58.399,69.6963,-6.85573,-56.3985,-603.958,1527.14
44,0,38.0134,98.0154,-29.9603,-57.9644,-611.093,1552.54
45,0,63.9587,72.601,-6.53976,-44.4398,-605.088,1574.57
46,0,65.3783,76.0989,-7.42597,-38.0398,-606.813,1597.67
47,0,67.3872,78.6237,-7.57107,-32.0134,-609.335,1619.86
48,0,69.8302,80.4778,-7.14616,-25.8309,-612.612,1641.58
49,0,72.942,81.3231,-6.16762,-19.6579,-616.635,1662.58
50,0,75.2702,83.0675,-5.65612,-13.5562,-621.336,1682.89
51,0,77.7284,84.4971,-5.12887,-7.60035,-626.743,1702.49
52,0,79.9438,86.2081,-4.52289,-1.39761,-632.586,1721.32
53,0,82.3825,87.6302,-4.22852,4.44611,-639.201,1739.43
54,0,84.5722,89.2688,-3.73408,10.7137,-645.983,1756.56
55,0,86.3137,91.43,-3.59247,16.875,-653.003,1772.74
56,0,87.7633,93.6725,-3.55925,22.9001,-660.237,1787.91
57,0,89.2208,95.6645,-3.46306,28.6465,-667.571,1801.99
58,0,90.6175,97.3469,-3.24118,34.1385,-674.855,1815.01
59,0,91.8333,98.9111,-2.91009,39.2721,-682.197,1827
60,0,93.1666,100.064,-2.47826,44.0848,-689.491,1838.02
61,0,94.3944,101.339,-1.84053,48.69,-696.49,1847.97
62,0,95.6248,102.407,-1.20752,52.9495,-703.307,1856.96
63,0,96.8527,103.344,-0.599535,56.9935,-709.825,1864.98
64,0,97.9535,104.292,-0.022937,60.6569,-715.913,1871.99
65,0,98.8072,105.169,0.651201,64.2177,-721.625,1878.1
66,0,99.4098,106.033,1.30621,67.3401,-726.898,1883.29
67,0,100.041,106.52,1.94363,70.1109,-731.751,1887.61
68,0,100.494,106.855,2.67164,72.6866,-736.094,1891.07
69,0,101.368,106.633,3.52904,75.0443,-739.859,1893.68
70,0,102.236,106.357,4.23394,77.2738,-743.134,1895.5
71,0,102.79,106.158,4.93873,79.6811,-745.818,1896.57
72,0,103.371,106.159,5.40883,81.9266,-747.939,1896.77
73,0,103.806,106.126,5.84358,84.2791,-749.518,1896.22
74,0,104.186,106.126,6.27916,86.4299,-750.376,1894.82
75,0,104.544,105.741,6.70942,88.5661,-750.703,1892.66
76,0,105.022,104.887,7.24491,90.6205,-750.291,1889.71
77,0,105.137,104.007,7.78895,92.814,-749.157,1886.04
78,0,105.356,103.078,8.20743,94.7378,-747.184,1881.44
79,0,105.433,102.018,8.29139,96.8994,-744.54,1876.09
80,0,105.491,100.708,8.48497,99.5687,-741.117,1869.95
81,0,105.559,99.4403,8.02353,102.156,-737.029,1863
82,0,104.902,98.7071,7.28958,105.374,-732.263,1855.29
83,0,104.442,97.9506,6.23287,108.502,-726.851,1846.69
84,0,103.693,97.2278,5.13435,112.026,-720.879,1837.37
85,0,102.909,96.1455,3.83063,116.126,-714.674,1827.41
86,0,102.172,95.2243,2.38068,120.386,-707.851,1816.56
87,0,101.158,94.5899,0.743026,125.047,-700.66,1804.89
88,0,100.289,93.6679,-0.928753,130.035,-693.078,1792.28
89,0,99.1843,92.8191,-2.9036,135.321,-685.338,1778.79
90,0,98.2332,91.3538,-4.65971,140.914,-677.447,1764.37
91,0,97.4726,89.3378,-6.288,146.834,-669.488,1749.03
92,0,96.3579,87.9645,-8.28735,152.71,-661.434,1732.79
93,0,95.5166,85.6781,-10.3079,158.519,-653.737,1715.89
94,0,94.42,83.5673,-11.7047,164.699,-645.889,1698.06
95,0,91.2324,84.2335,-16.2991,170.718,-638.347,1679.63
96,0,92.5875,78.0394,-13.6401,177.755,-631.069,1660.32
97,0,91.4197,75.5206,-14.7932,185.004,-624.093,1640.14
98,0,89.7007,73.7464,-16.9337,192.679,-617.628,1619.59
99,0,87.7544,72.5132,-19.731,200.816,-611.702,1598.44
100,0,85.3384,72.2083,-23.2511,209.131,-606.396,1576.73
101,0,82.3227,73.3396,-27.5027,217.276,-601.841,1554.55
102,0,81.026,70.8125,-29.7458,225.397,-598.067,1532.06
103,0,78.861,69.8347,-31.7947,233.454,-595.332,1509.43
104,0,77.2568,66.3342,-32.5079,241.251,-593.212,1486.9
105,0,76.1111,62.5773,-32.769,249.651,-591.899,1464.29
106,0,74.7382,59.6978,-33.809,258.583,-591.354,1441.92
107,0,72.623,59.3207,-36.8925,267.486,-591.807,1419.5
108,0,70.9747,57.3653,-39.3679,276.665,-592.966,1397.2
109,0,69.3107,55.1715,-41.7378,285.516,-594.929,1374.75
110,0,67.1978,53.6151,-44.3803,293.888,-597.815,1352.44
