Segments
100
,,Stap:segment,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
1,0,25.8394,58.2219,-26.1228,-205.883,-335.724,1217.76
2,0,26.0766,57.9484,-26.1044,-201.178,-328.809,1225.72
3,0,26.4528,57.5743,-25.8874,-196.147,-321.544,1234.35
4,0,26.9942,57.1407,-25.6494,-190.924,-314.104,1243.63
5,0,27.607,56.6129,-25.3378,-185.477,-306.445,1253.63
6,0,28.3383,56.181,-24.9457,-179.798,-298.611,1264.33
7,0,29.3346,55.53,-24.2034,-173.984,-290.679,1275.88
8,0,30.4216,55.0184,-23.5433,-168.132,-282.68,1288.17
9,0,32.1761,53.6278,-21.6264,-161.996,-274.462,1301.22
10,0,33.3884,53.243,-21.2323,-155.934,-266.433,1315.04
11,0,34.5898,52.9161,-20.874,-149.653,-258.366,1329.63
12,0,35.8488,52.8066,-20.8242,-143.382,-250.475,1344.85
13,0,37.1216,52.6526,-20.7162,-136.97,-242.639,1360.87
14,0,38.5378,52.5817,-20.7504,-130.566,-235.124,1377.51
15,0,40.027,52.5194,-20.6746,-124.139,-227.889,1394.71
16,0,41.5142,52.6066,-20.5395,-117.586,-221.037,1412.42
17,0,42.8158,52.8468,-20.6692,-111.117,-214.502,1430.63
18,0,44.0885,53.236,-21.1598,-104.769,-208.46,1449.24
19,0,45.3983,53.5599,-21.428,-98.4294,-202.862,1468.28
20,0,46.8963,53.7302,-21.281,-92.2364,-197.695,1487.83
21,0,48.2608,53.9852,-21.0529,-85.9656,-192.824,1508.08
22,0,49.2163,55.7779,-22.4407,-80.1336,-188.739,1528.4
23,0,50.8429,56.2672,-22.2697,-73.9851,-184.997,1549.23
24,0,52.5175,56.9395,-22.1814,-67.8535,-181.781,1570.35
25,0,54.3519,57.5984,-22.1379,-61.8024,-179.245,1591.66
26,0,55.7991,59.2483,-23.0753,-56.265,-177.636,1612.89
27,0,57.7599,59.8271,-22.8811,-50.4968,-176.389,1634.29
28,0,59.6187,60.5612,-22.6503,-44.979,-175.822,1655.65
29,0,61.5381,61.11,-22.2013,-39.7958,-175.974,1676.9
30,0,63.552,61.5311,-21.4987,-34.9058,-176.789,1698.04
31,0,65.3238,62.6415,-21.2525,-30.8943,-178.546,1718.85
32,0,66.9429,63.5631,-20.7342,-26.6972,-180.677,1739.87
33,0,68.8596,64.1802,-19.8165,-22.6833,-183.454,1760.15
34,0,71.1133,64.1388,-18.4378,-18.8601,-186.758,1780.01
35,0,73.1788,64.5277,-17.327,-15.0663,-190.589,1799.5
36,0,75.0876,65.3648,-16.4602,-11.4152,-194.993,1818.43
37,0,77.461,65.218,-14.945,-7.66367,-199.936,1836.87
38,0,79.4986,65.7556,-14.0211,-4.06335,-205.346,1854.9
39,0,81.4991,66.5349,-13.1919,-0.265454,-211.115,1872.29
40,0,83.109,67.9671,-12.7977,3.61899,-217.123,1888.87
41,0,85.8593,66.64,-11.2394,7.79016,-223.294,1904.93
42,0,88.0259,67.1544,-9.89396,11.5503,-229.856,1919.84
43,0,88.6579,69.4666,-10.8865,15.2066,-236.426,1934.07
44,0,90.2317,70.5633,-9.77962,18.8664,-243.216,1947.24
45,0,90.5669,72.8379,-10.5196,22.3189,-249.93,1959.67
46,0,92.1061,73.105,-9.96578,25.4956,-256.667,1971.11
47,0,90.9771,76.9937,-12.6275,28.4396,-263.355,1981.83
48,0,92.068,77.8275,-11.6828,31.6405,-270.149,1991.35
49,0,93.2435,78.5425,-10.5613,34.9809,-276.94,1999.93
50,0,94.7711,78.8096,-9.36442,38.5698,-283.5,2007.56
51,0,96.1751,79.4013,-8.41579,42.5079,-289.678,2014.23
52,0,97.2754,80.4818,-7.78257,46.7423,-295.371,2019.83
53,0,98.5161,81.0558,-7.06818,51.3029,-300.686,2024.4
54,0,99.0318,82.7873,-7.34463,55.8537,-305.338,2027.99
55,0,99.3445,84.4274,-7.4491,60.5487,-309.458,2030.35
56,0,99.7539,85.7547,-7.55153,65.3528,-312.833,2031.7
57,0,100.413,86.017,-7.66629,70.0254,-315.912,2031.98
58,0,100.423,87.1831,-7.69404,74.837,-318.02,2030.8
59,0,101.041,86.6953,-7.98872,79.3979,-319.855,2028.9
60,0,101.02,87.0597,-8.40592,83.9793,-320.846,2025.74
61,0,100.896,87.1003,-8.48742,88.9065,-321.021,2021.36
62,0,100.63,87.2457,-9.25089,93.5413,-320.752,2016.17
63,0,100.702,86.4047,-9.66577,98.197,-320.101,2010.05
64,0,100.522,85.9756,-10.4682,102.852,-318.76,2002.89
65,0,100.446,85.2482,-10.9227,107.675,-316.854,1994.78
66,0,99.9169,85.0142,-11.9823,112.516,-314.622,1985.91
67,0,99.3208,84.7994,-12.8556,117.477,-312.11,1975.97
68,0,98.7784,84.4706,-13.7254,122.691,-309.312,1965.14
69,0,98.5407,83.6595,-14.8752,127.845,-306.385,1953.59
70,0,97.7359,83.4115,-16.1287,133.294,-303.342,1941.02
71,0,96.9535,82.9522,-17.2571,138.827,-300.206,1927.72
72,0,96.0727,82.7182,-18.6689,144.259,-296.636,1913.37
73,0,95.3688,81.7741,-19.7817,149.674,-293.092,1898.28
74,0,97.5647,76.1765,-16.4602,155.309,-289.699,1881.95
75,0,96.4106,75.4024,-17.7145,160.618,-285.99,1865.26
76,0,95.1751,74.2483,-18.9408,165.942,-282.332,1848.01
77,0,93.2008,75.0807,-20.8022,171.011,-278.88,1829.78
78,0,91.8673,74.1186,-22.0729,176.676,-275.588,1811.28
79,0,90.747,72.4048,-23.2982,182.407,-272.807,1792.52
80,0,89.7393,70.7796,-24.2422,188.359,-270.47,1773.29
81,0,88.2526,70.1922,-26.3643,194.356,-268.568,1753.82
82,0,86.635,70.0041,-28.3959,200.683,-267.085,1734.19
83,0,85.124,69.6962,-30.5489,207.184,-266.187,1714.36
84,0,82.9943,71.3084,-33.3799,213.551,-265.546,1694.54
85,0,82.0482,70.7599,-35.0849,220.161,-265.469,1674.49
86,0,80.5156,71.0464,-37.4958,226.616,-265.748,1654.41
87,0,79.1816,70.5444,-39.6904,232.994,-266.528,1634.07
88,0,78.0346,69.3471,-41.2538,239.234,-267.691,1613.58
89,0,77.0067,67.2542,-42.3878,245.218,-269.384,1593.23
90,0,75.7435,65.9097,-43.5222,251.42,-271.398,1572.59
91,0,74.4109,65.0212,-44.9648,257.404,-274.024,1551.99
92,0,73.1387,63.5916,-46.172,263.42,-277.264,1531.79
93,0,72.0762,62.3949,-47.6884,269.293,-281.032,1511.63
94,0,70.7753,61.5234,-49.2897,275.255,-285.208,1491.68
95,0,69.5168,60.3476,-50.7644,281.151,-289.795,1471.93
96,0,68.242,59.1193,-52.2432,286.893,-294.741,1452.34
97,0,66.8592,57.9783,-53.5838,292.743,-300.031,1432.93
98,0,65.5503,56.7131,-54.8767,298.574,-305.649,1413.76
99,0,64.2528,55.3734,-56.1472,304.546,-311.628,1394.88
