Segments
100
,,Stap:segment,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
1,0,29.2962,60.4438,-16.7632,-216.333,-370.147,1233.17
2,0,30.1536,60.2225,-16.2907,-212.135,-362.069,1243.51
3,0,31.1802,59.8964,-15.6808,-207.54,-353.579,1254.65
4,0,32.1182,59.7532,-15.343,-202.533,-344.761,1266.61
5,0,33.4591,59.2552,-14.7218,-197.269,-335.68,1279.38
6,0,34.9527,58.8107,-14.113,-191.699,-326.371,1292.97
7,0,36.5655,58.3935,-13.4811,-185.818,-316.948,1307.38
8,0,38.3457,57.8741,-12.8129,-179.794,-307.523,1322.53
9,0,40.0082,57.6565,-12.4117,-173.558,-298.201,1338.45
10,0,41.7007,57.472,-12.053,-167.173,-289.065,1355.14
11,0,43.3355,57.3818,-11.8011,-160.667,-280.161,1372.54
12,0,45.0385,57.3721,-11.614,-154.118,-271.567,1390.6
13,0,46.8668,57.1871,-11.1822,-147.485,-263.351,1409.44
14,0,48.4053,57.6865,-11.2953,-140.859,-255.534,1428.8
15,0,49.83,58.2134,-11.1619,-134.16,-248.014,1449.05
16,0,51.8284,58.2518,-10.8813,-127.304,-241.089,1469.85
17,0,53.7853,58.5588,-10.7376,-120.204,-234.632,1491.02
18,0,56.2172,58.2208,-9.97385,-112.972,-228.801,1512.48
19,0,58.3219,58.5468,-10.1866,-105.865,-223.63,1534.48
20,0,60.4223,58.8439,-10.137,-98.8931,-219.189,1556.64
21,0,62.7182,58.8953,-9.85919,-92.3044,-215.63,1578.93
22,0,64.8124,59.3689,-9.70442,-85.6435,-212.691,1601.22
23,0,66.9078,59.7679,-9.38953,-79.1418,-210.506,1623.4
24,0,68.3774,61.1918,-9.69701,-72.8336,-208.889,1645.53
25,0,69.415,63.4065,-10.5388,-66.6359,-208.04,1667.06
26,0,71.762,63.1221,-9.99,-60.9187,-208.071,1688.58
27,0,73.8246,63.5328,-9.54441,-55.2093,-208.703,1709.51
28,0,76.05,63.1429,-8.82668,-49.6266,-210.024,1730.32
29,0,78.8591,61.9823,-7.50611,-43.894,-211.732,1750.28
30,0,80.5406,62.8179,-7.58789,-38.4781,-214.017,1769.66
31,0,82.109,63.6427,-7.64525,-33.0574,-216.718,1788.41
32,0,83.5942,64.5348,-7.71747,-27.8064,-219.864,1806.36
33,0,85.2206,65.1753,-7.50507,-22.6905,-223.383,1823.52
34,0,86.8909,65.4985,-7.12885,-17.8379,-227.234,1839.87
