Segments
100
,,Stap:segment,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
1,0,31.1456,59.0067,-16.6554,-200.689,-273.233,1243.02
2,0,32.3563,59.0093,-15.9939,-196.384,-265.181,1256.45
3,0,33.5235,59.158,-15.5394,-191.94,-256.98,1271.06
4,0,34.9173,59.8747,-15.4579,-187.106,-248.951,1286.2
5,0,36.5803,59.3526,-14.3997,-182.311,-240.366,1303.4
6,0,38.2573,59.5165,-13.9518,-177.178,-232.116,1320.99
7,0,40.4782,58.9771,-12.6935,-171.947,-223.939,1339.5
8,0,42.2991,59.1553,-12.2098,-166.472,-216.16,1358.9
9,0,43.9002,59.8179,-12.3083,-161.065,-208.797,1379.12
10,0,45.8114,59.8772,-11.6004,-155.5,-201.659,1400.45
11,0,47.7619,60.4227,-11.177,-149.713,-195.026,1422.2
12,0,50.1408,60.0283,-9.5098,-143.924,-188.956,1444.74
13,0,52.4603,59.9071,-8.29739,-137.924,-183.527,1467.9
14,0,54.7685,59.857,-7.12487,-131.745,-178.672,1491.7
15,0,56.9053,60.1195,-6.2666,-125.315,-174.38,1516.06
16,0,59.0669,60.3102,-5.54658,-118.624,-170.704,1541
17,0,61.8613,60.0533,-5.02838,-112.051,-167.976,1566.45
18,0,64.2717,60.3602,-4.45455,-104.71,-165.626,1592.26
19,0,66.7279,60.969,-4.54168,-97.1049,-164.151,1618.4
20,0,68.6034,63.0017,-5.56982,-89.3045,-163.413,1644.66
21,0,70.318,65.2372,-6.67711,-81.3913,-163.377,1671
22,0,72.9086,66.1389,-6.75587,-73.3702,-164.34,1696.84
23,0,75.7518,66.3105,-6.7037,-65.5634,-166.369,1722.52
24,0,79.1478,65.6283,-5.83719,-57.5648,-169.115,1747.28
25,0,81.5093,66.6745,-5.90456,-49.6454,-172.639,1771.38
26,0,83.7561,67.8116,-6.00171,-42.044,-176.884,1794.63
27,0,85.8659,68.8011,-5.89233,-34.5864,-181.747,1816.98
28,0,87.7541,70.033,-5.94798,-27.4577,-187.204,1838.32
29,0,89.3522,71.2801,-6.09734,-20.5938,-193.156,1858.75
30,0,91.2086,72.22,-5.77326,-14.0716,-199.481,1878.03
31,0,93.444,71.9146,-5.06881,-7.75416,-206.304,1896.47
32,0,92.7967,75.3508,-7.90392,-1.80843,-213.602,1914.29
33,0,94.1158,76.5463,-7.68052,4.0861,-220.921,1930.52
34,0,95.532,77.5976,-7.3304,9.79386,-228.339,1945.65
35,0,97.3847,77.7442,-6.59176,15.3082,-235.894,1959.65
36,0,98.82,78.5948,-6.12131,20.5673,-243.385,1972.47
37,0,100.285,79.2213,-5.43538,25.7678,-250.734,1984.16
38,0,101.566,79.4961,-4.90062,30.8018,-258.095,1994.9
39,0,102.72,80.1535,-4.39637,35.4498,-265.025,2004.34
40,0,103.986,80.379,-3.6816,39.9593,-271.63,2012.54
41,0,104.725,80.9667,-3.29974,44.3404,-277.971,2019.95
42,0,105.29,81.6247,-3.33578,48.4916,-283.927,2026.47
43,0,106.029,81.8951,-2.80651,52.5308,-289.402,2031.64
44,0,106.568,82.2022,-2.57725,56.5579,-294.661,2036.02
45,0,107.232,82.7018,-2.29039,60.3647,-299.187,2039.26
46,0,108.399,81.4367,-1.44168,64.4778,-303.599,2041.72
47,0,108.566,81.9084,-1.65849,68.4027,-307.461,2043.34
48,0,109.165,81.3946,-0.964442,72.4307,-310.911,2043.73
49,0,108.862,83.0793,-1.79892,75.8693,-313.278,2043.21
50,0,109.473,81.781,-1.24866,79.9416,-315.836,2041.97
51,0,112.949,76.6006,2.25443,83.9747,-317.444,2039.59
52,0,113.007,76.9331,1.84873,87.3636,-318.267,2036.31
53,0,112.95,76.337,1.62569,91.266,-319.004,2032.65
54,0,112.804,76.1019,1.226,94.982,-319.052,2028.09
