Segments
100
,,Stap:segment,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
1,0,60.9196,83.7013,-40.9377,177.665,-686.585,1404.85
2,0,60.7449,83.6981,-41.0455,177.711,-686.364,1403.89
3,0,60.4388,83.8952,-41.352,177.734,-686.186,1402.73
4,0,60.3081,83.7155,-41.3651,177.812,-685.964,1401.36
5,0,60.0456,83.6104,-41.4524,177.876,-685.757,1399.76
6,0,59.8881,83.2872,-41.3904,177.963,-685.513,1397.97
7,0,59.7408,82.9405,-41.3043,178.123,-685.31,1396.01
8,0,59.5967,82.6169,-41.2701,178.383,-685.136,1393.93
9,0,59.4244,82.3829,-41.3488,178.836,-685.051,1391.77
10,0,59.3026,82.2362,-41.3827,179.476,-685.002,1389.36
11,0,59.193,82.1001,-41.5022,180.282,-685.046,1386.82
12,0,59.0483,81.8754,-41.5049,181.238,-685.118,1383.94
13,0,58.8519,81.7243,-41.6924,182.252,-685.273,1380.71
14,0,58.6001,81.576,-41.7924,183.341,-685.481,1377.04
15,0,58.4272,81.0778,-41.8085,184.557,-685.836,1373.16
16,0,58.189,80.8363,-41.8847,185.876,-686.212,1368.86
17,0,57.858,80.4538,-41.901,187.574,-686.697,1364.42
18,0,57.7724,79.908,-41.9751,189.339,-687.236,1359.72
19,0,57.2579,79.8834,-42.4491,191.43,-687.818,1354.72
20,0,57.1031,79.2259,-42.6096,193.619,-688.432,1349.43
21,0,56.7033,79.0299,-42.9451,195.971,-689.034,1343.56
22,0,56.3231,78.1216,-43.0195,198.417,-689.834,1337.96
23,0,55.9017,77.335,-43.1062,200.984,-690.688,1332.19
24,0,55.5493,76.5624,-43.2143,203.78,-691.665,1326.47
25,0,55.4377,75.6843,-43.1707,207.047,-692.752,1320.99
26,0,55.3241,75.0792,-43.272,210.731,-693.85,1315.61
27,0,55.11,74.8692,-43.8865,214.681,-694.997,1310.27
28,0,55.0358,74.3213,-44.2716,219.077,-696.234,1305.17
29,0,54.6952,74.1234,-44.9411,223.794,-697.417,1300.14
30,0,54.5413,73.5383,-45.4062,228.42,-698.719,1295.07
31,0,54.0397,73.4406,-46.1466,233.253,-700.042,1290.02
32,0,54.1336,72.4688,-46.2338,238.118,-701.401,1285.05
33,0,54.2386,71.4103,-46.2657,243.122,-702.784,1280.21
34,0,53.918,71.0467,-46.8244,248.756,-704.281,1275.7
35,0,53.8588,70.5551,-47.42,254.34,-705.774,1271.27
36,0,53.8981,69.7371,-47.7435,260.184,-707.261,1267.13
37,0,53.8093,69.2077,-48.2893,266.232,-708.79,1263.24
38,0,53.8453,68.615,-48.7627,272.349,-710.362,1259.57
39,0,53.8393,68.2875,-49.3811,278.594,-711.908,1256.16
40,0,53.9972,67.5442,-49.5118,285.169,-713.53,1253.14
41,0,54.0997,66.8475,-49.8337,291.849,-715.135,1250.24
42,0,54.3687,65.8927,-50.0576,298.759,-716.765,1247.48
43,0,54.507,64.9262,-50.3712,306.058,-718.388,1244.96
44,0,54.7478,64.1158,-50.9936,313.425,-720.076,1242.56
45,0,54.8347,63.4831,-51.7648,320.976,-721.743,1240.48
46,0,55.0889,62.7737,-52.3426,328.711,-723.527,1238.95
47,0,55.4762,62.0888,-52.6953,336.518,-725.283,1237.79
48,0,55.812,61.3519,-52.9187,344.582,-727.139,1237.33
49,0,56.3905,60.7607,-53.2477,352.664,-728.973,1236.94
50,0,56.8896,59.9226,-53.5516,360.976,-730.877,1237
51,0,57.4012,59.2883,-54.2092,369.505,-732.792,1237.32
52,0,57.8938,58.5373,-54.9076,378.101,-734.734,1238.05
53,0,58.5091,57.7929,-55.4273,386.841,-736.709,1239.19
54,0,59.0863,56.9403,-55.7961,395.625,-738.728,1241.01
55,0,59.8054,56.1638,-56.1072,404.45,-740.757,1243.37
56,0,60.7094,55.3558,-56.2978,413.357,-742.76,1246.41
57,0,61.6658,54.9277,-56.7537,422.131,-744.857,1249.98
58,0,62.7599,54.1086,-56.7729,431.27,-747.033,1254.16
59,0,63.8324,53.1446,-56.7948,440.588,-749.275,1258.68
60,0,65.0182,52.2834,-57.2861,449.755,-751.636,1263.33
61,0,65.8423,51.779,-58.0761,459.027,-754.002,1268.37
62,0,66.8616,51.5501,-59.117,467.827,-756.315,1273.65
63,0,67.429,51.7217,-59.8297,476.652,-758.577,1279.71
64,0,68.4916,51.7148,-60.3075,485.323,-761.057,1286.34
65,0,70.0435,51.1805,-60.5906,493.738,-763.531,1293.44
66,0,70.9978,51.121,-60.7045,502.091,-765.993,1301.09
67,0,72.3997,50.8482,-60.9981,510.246,-768.537,1309.01
68,0,73.6611,50.982,-61.6884,518.028,-771.154,1317.16
69,0,74.9743,50.6321,-62.026,525.397,-773.688,1325.57
70,0,76.194,50.5484,-62.2968,532.412,-776.218,1334.24
71,0,77.3396,50.5529,-62.4192,538.907,-778.667,1343.33
72,0,78.6327,50.3317,-62.302,544.803,-781,1352.63
73,0,80.1758,49.7436,-61.893,550.397,-783.391,1362.4
74,0,81.4614,50.074,-61.8326,555.47,-785.655,1372.53
75,0,82.7714,50.2585,-61.5977,560.132,-787.926,1382.84
76,0,84.115,51.2049,-61.7995,563.804,-789.903,1393.04
77,0,-30.4297,196.884,-111.93,575.79,-779.255,1407.09
78,0,-27.9948,195.285,-111.728,579.936,-782.183,1418.68
79,0,-26.7544,194.785,-110.381,583.103,-784.514,1429.66
80,0,-27.0669,195.259,-108.592,585.312,-786.512,1440.68
81,0,-23.1965,194.148,-107.267,587.082,-788.53,1451.84
82,0,-21.2935,194.546,-104.433,588.22,-790.405,1462.88
83,0,90.2561,52.608,-56.9473,580.942,-804.453,1468.89
84,0,91.2641,52.566,-55.8769,581.422,-806.407,1479.96
85,0,94.1218,53.8238,-56.61,579.466,-806.603,1489.36
86,0,93.4358,52.3153,-54.203,580.762,-809.771,1501.82
87,0,94.3719,52.0909,-52.9858,579.645,-811.218,1512.46
88,0,96.9403,53.7709,-53.3084,575.835,-810.623,1521.14
89,0,97.768,53.6973,-51.9398,573.486,-811.773,1531.63
90,0,98.5795,54.0363,-50.4773,570.672,-812.864,1542.03
91,0,99.4561,54.2945,-49.0464,567.331,-813.948,1552.39
92,0,100.159,54.9039,-47.5912,563.793,-815.079,1562.5
93,0,100.812,55.3312,-46.0653,560.237,-816.25,1572.35
94,0,101.515,55.9277,-44.9142,555.961,-817.097,1581.65
95,0,101.929,56.7195,-43.8149,551.469,-817.785,1590.51
96,0,102.462,56.5641,-42.5347,546.456,-818.129,1598.92
97,0,102.627,56.8187,-41.2446,541.039,-818.252,1606.92
98,0,102.709,57.1027,-39.7282,535.175,-818.027,1614.5
99,0,102.702,57.0704,-38.015,528.861,-817.7,1621.82
100,0,102.869,56.6662,-36.0784,522.301,-817.317,1628.82
101,0,102.871,56.9722,-34.3254,515.606,-816.881,1635.44
102,0,102.962,56.9076,-32.6582,508.957,-816.415,1641.7
103,0,102.998,57.2439,-31.3782,502.305,-815.834,1647.44
104,0,103.234,56.6489,-30.1068,495.688,-815.068,1652.69
105,0,102.977,57.4183,-29.4336,489.12,-814.153,1657.47
106,0,102.812,57.5672,-28.6672,482.728,-813.047,1661.85
107,0,102.719,58.239,-28.1916,475.921,-811.568,1665.66
108,0,102.905,57.3532,-27.0725,469.155,-810.06,1669.2
109,0,102.907,56.9522,-25.9561,462.298,-808.405,1672.38
110,0,104.891,49.5094,-22.5738,455.449,-806.413,1675.29
111,0,102.895,56.699,-24.1029,448.341,-804.665,1677.76
112,0,102.856,56.6869,-23.1963,441.202,-802.469,1679.73
113,0,102.679,57.0311,-22.5349,433.819,-800.077,1681.21
114,0,102.326,57.186,-21.6824,426.463,-797.493,1682.2
115,0,101.69,57.5049,-20.9776,419.009,-794.689,1682.68
116,0,101.167,57.453,-20.2174,411.208,-791.555,1682.42
117,0,100.691,56.7713,-19.3363,403.537,-788.265,1681.71
118,0,99.835,57.3889,-19.0694,395.633,-784.641,1680.25
119,0,98.8669,57.7821,-18.6409,387.717,-780.931,1678.27
120,0,97.5587,58.9916,-18.8842,379.203,-777.158,1675.62
121,0,96.6081,58.7022,-18.4615,370.931,-773.134,1672.49
122,0,95.5587,58.5185,-18.0391,362.51,-768.977,1668.93
123,0,94.3988,58.244,-17.4715,354.137,-764.87,1665.03
124,0,93.4267,57.4927,-16.6268,345.646,-760.799,1660.81
125,0,92.2939,57.4955,-16.253,337.042,-756.706,1656.11
126,0,91.333,57.053,-15.6649,328.557,-752.658,1651.17
127,0,90.3383,56.6501,-15.1977,320.098,-748.668,1645.81
128,0,89.3252,56.3072,-14.8229,311.589,-744.64,1639.98
129,0,88.2583,56.1162,-14.7239,302.999,-740.666,1633.63
130,0,87.1637,55.6879,-14.4274,294.232,-736.598,1626.74
131,0,86.37,54.0644,-13.5032,285.249,-732.688,1619.25
132,0,85.0494,53.5901,-13.0838,275.975,-728.771,1611.15
133,0,82.0598,56.8786,-14.6215,266.34,-725.013,1602.47
134,0,79.8736,57.8219,-14.8997,256.686,-721.396,1593.45
135,0,78.021,57.6326,-14.5044,246.867,-718.085,1584.28
136,0,76.1861,57.7128,-14.1429,237.066,-715.114,1574.96
137,0,74.8291,57.0556,-13.1516,227.307,-712.32,1565.4
138,0,73.676,56.1638,-12.2325,217.49,-709.789,1555.78
139,0,72.4023,55.719,-11.733,207.817,-707.554,1545.94
140,0,70.5821,56.2727,-12.0564,198.293,-705.528,1535.77
141,0,68.9334,56.1188,-11.9143,188.63,-703.611,1525
142,0,67.622,54.7757,-10.7786,179.108,-701.805,1513.83
143,0,65.9939,53.5642,-9.45159,169.266,-700.431,1502.14
144,0,64.1043,52.6733,-8.69976,159.407,-699.487,1490.29
145,0,62.0861,52.1721,-8.29978,149.443,-698.952,1478.5
146,0,60.5287,51.147,-7.17521,139.552,-698.728,1466.87
147,0,55.2304,57.1239,-11.7482,129.896,-699.036,1455.42
148,0,53.5744,56.8395,-11.3613,119.945,-699.502,1444.12
