Segments
100
,,Stap:segment,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
1,0,80.5171,36.7341,0.419201,-122.781,-6.38667,1550.36
2,0,82.3465,39.0239,-0.656281,-117.061,-10.4808,1566.52
3,0,84.4519,40.0888,-1.18896,-110.807,-14.9951,1582.1
4,0,86.3167,41.5502,-2.14289,-103.96,-19.8992,1597.12
5,0,88.3949,41.9688,-2.68092,-96.5766,-25.1442,1611.42
6,0,90.3317,42.8108,-3.55227,-88.7201,-30.6969,1624.98
7,0,91.7169,45.3827,-5.33482,-80.6365,-36.4234,1637.8
8,0,93.7683,45.6085,-5.98963,-71.7364,-42.9291,1650.1
9,0,95.4947,46.7443,-7.00095,-62.6718,-49.605,1661.55
10,0,97.5563,48.1926,-8.53403,-53.2076,-56.8122,1671.96
11,0,99.3546,49.2121,-9.58532,-43.4022,-64.1148,1681.62
12,0,101.203,49.5211,-10.5391,-33.2588,-71.6714,1690.39
13,0,102.375,51.6945,-12.1756,-23.1384,-79.1563,1697.76
14,0,104.144,51.1186,-12.6886,-12.5472,-86.6521,1703.88
15,0,105.168,52.3656,-14.1474,-2.48134,-94.0303,1708.76
16,0,106.101,53.0171,-15.3902,7.64408,-101.37,1712.43
17,0,106.844,54.2371,-16.824,17.5796,-108.416,1714.77
18,0,107.513,54.418,-17.8685,27.585,-115.339,1716.12
19,0,107.577,56.8035,-19.723,37.2705,-121.729,1716.16
20,0,107.819,57.5633,-21.181,47.0617,-128.172,1715.07
21,0,108.346,56.9237,-22.3028,56.8704,-134.429,1712.94
22,0,108.67,56.4068,-23.4357,66.5208,-140.461,1709.72
23,0,108.167,58.0768,-25.5398,76.1005,-146.383,1705.5
24,0,108.035,58.0016,-27.1599,85.4574,-152.118,1700.49
25,0,107.69,58.4471,-28.9061,94.7104,-157.705,1694.29
26,0,106.923,59.805,-31.3262,103.829,-163.354,1687.02
27,0,106.902,58.1711,-32.2536,112.437,-168.793,1678.97
28,0,105.856,59.3771,-34.5595,120.982,-174.234,1670.09
