Segments
100
,,Stap:segment,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
1,0,49.9959,56.3787,11.6287,-222.47,-296.263,1330.65
2,0,49.935,56.3525,12.5942,-223.217,-296.324,1334.39
3,0,50.4796,55.8058,14.2931,-223.738,-296.187,1339.49
4,0,50.9946,55.6034,15.7037,-223.84,-295.798,1345.86
5,0,52.5801,54.469,18.0635,-223.53,-294.996,1353.42
6,0,53.6292,54.4413,19.0173,-222.568,-293.817,1362.19
7,0,55.043,54.4006,19.729,-220.968,-292.201,1371.93
8,0,56.2238,55.0112,19.5271,-218.814,-290.398,1382.54
9,0,57.3724,55.8509,19.0494,-216.078,-288.406,1393.92
10,0,46.9873,70.9234,4.66742,-213.51,-287.149,1405.43
11,0,47.797,72.3894,4.07054,-209.765,-285.25,1418.01
12,0,48.3022,74.187,3.21709,-205.634,-283.54,1431.03
13,0,59.5571,63.3935,13.9684,-200.64,-281.188,1444.84
14,0,61.02,64.2145,13.7575,-195.626,-279.806,1458.33
15,0,62.2175,65.4421,13.1586,-190.182,-278.616,1471.92
16,0,63.7912,66.1884,13.0498,-184.212,-277.586,1485.56
17,0,57.9327,75.3654,6.57125,-175.323,-277.121,1499.99
18,0,67.6873,66.6447,13.3593,-170.959,-276.034,1512.6
19,0,68.93,67.8143,12.741,-163.605,-275.526,1525.97
20,0,70.0821,68.9835,12.179,-155.715,-275.126,1539.12
21,0,71.3632,69.9369,11.6475,-147.327,-274.882,1552.07
22,0,72.6046,71.0858,10.8932,-138.386,-274.726,1564.68
23,0,74.0325,72.009,10.1759,-128.883,-274.704,1577.15
24,0,75.3636,73.2618,9.12861,-118.808,-274.788,1589.2
25,0,76.4682,74.9022,7.88725,-108.207,-274.964,1600.82
26,0,77.9959,76.0013,6.85106,-97.3931,-275.41,1611.9
27,0,79.43,77.1175,5.86056,-86.279,-276.002,1622.39
28,0,80.7715,78.4195,4.76859,-74.9015,-276.697,1632.06
29,0,82.561,79.0468,3.83582,-63.6413,-277.688,1640.98
30,0,83.3535,80.9387,2.45227,-51.9421,-278.59,1649
31,0,84.3759,82.2834,1.1937,-40.1852,-279.449,1656.05
32,0,85.7374,82.6583,0.708068,-28.2908,-280.165,1662.06
33,0,86.468,83.8023,-0.617918,-16.498,-280.726,1666.82
34,0,87.0593,84.6111,-1.95527,-4.7843,-281.156,1670.51
35,0,87.4359,85.4524,-3.48493,6.81993,-281.446,1673.07
36,0,88.0884,85.6436,-4.58087,18.2946,-281.561,1674.61
37,0,88.036,86.6395,-6.01183,29.8684,-281.605,1675.08
38,0,87.9111,87.7261,-7.57807,41.2201,-281.525,1674.41
39,0,88.7292,87.2029,-8.87661,52.0357,-281.473,1672.7
40,0,88.0739,88.4177,-10.4975,63.112,-280.995,1669.86
41,0,87.9631,88.6021,-11.8784,73.8573,-280.302,1665.76
42,0,87.2833,89.2868,-13.5435,84.3931,-279.425,1660.51
43,0,86.7233,89.3322,-15.0806,94.6898,-278.372,1654.12
44,0,85.9592,89.369,-16.6346,104.642,-277.171,1646.53
45,0,84.8316,89.694,-18.4106,114.228,-275.942,1637.79
