Segments
100
,,Stap:segment,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
1,0,41.4829,53.1744,34.4651,-380.262,-317.543,1332.7
2,0,42.2867,53.5817,34.9908,-381.237,-317.246,1343.07
3,0,43.5385,53.6992,35.6143,-382.771,-316.775,1354.84
4,0,43.7335,55.7502,34.7308,-382.9,-315.588,1367.65
5,0,44.3537,57.7009,34.2643,-382.463,-314.115,1381.65
6,0,45.3827,59.3529,33.9467,-381.559,-312.631,1396.69
7,0,46.6729,60.8269,33.8464,-380.019,-310.955,1412.4
8,0,47.6604,62.5802,33.1381,-377.774,-309.295,1428.71
9,0,46.8671,65.7694,30.8742,-374.018,-307.612,1445.86
10,0,50.607,65.2277,32.7396,-371.248,-305.931,1462.34
11,0,48.7823,69.3546,29.6723,-365.805,-304.465,1480.22
12,0,48.925,72.0522,28.2822,-360.761,-303.089,1497.76
13,0,49.2842,74.6541,27.1631,-354.699,-301.875,1515.63
14,0,49.3709,77.5822,25.7886,-347.57,-300.756,1533.62
15,0,63.6092,68.1751,35.3635,-341.751,-299.935,1550.79
16,0,65.094,70.089,34.5222,-333.263,-299.233,1568.67
17,0,67.0805,71.4549,34.1006,-323.974,-298.671,1586.44
18,0,68.8739,73.2325,33.4855,-313.841,-298.022,1603.69
19,0,70.5266,75.0372,32.4465,-302.873,-297.509,1620.48
20,0,72.223,76.4765,31.4233,-291.069,-296.849,1636.89
21,0,73.4126,78.4922,29.9157,-278.377,-295.654,1652.27
22,0,75.0399,79.7996,28.5147,-265.037,-294.401,1666.89
23,0,76.5438,81.2272,26.9686,-251.036,-292.707,1680.44
24,0,78.1777,82.458,25.1489,-236.51,-291.032,1692.96
25,0,79.4172,83.9461,23.1769,-221.401,-289.111,1704.43
26,0,80.8711,85.1145,21.1826,-205.92,-287.274,1714.83
27,0,81.9198,86.7537,18.8902,-190.087,-285.295,1724
28,0,83.017,88.1934,16.6706,-174.083,-283.456,1732.07
29,0,84.1628,89.3128,14.8375,-157.812,-281.516,1738.9
30,0,85.1112,90.3864,12.8523,-141.562,-279.776,1744.51
31,0,86.8628,90.7009,10.8499,-125.721,-278.312,1748.78
32,0,87.3072,92.2619,8.61672,-109.837,-276.776,1751.77
33,0,87.4291,94.3557,6.57259,-93.7865,-274.63,1753.34
34,0,88.2937,95.0719,4.74334,-77.7708,-272.818,1753.93
35,0,89.0155,95.7598,2.96877,-61.8876,-270.898,1753.26
36,0,89.4252,96.8129,0.900753,-46.1043,-268.806,1751.24
37,0,89.5909,97.9893,-1.31265,-30.5798,-266.527,1747.92
38,0,89.7257,98.9213,-3.59707,-15.448,-264.013,1743.3
39,0,89.1819,100.456,-5.99892,-0.665632,-261.003,1737.16
40,0,88.4554,101.613,-8.55816,13.5018,-257.859,1729.77
41,0,87.4369,102.55,-11.1812,26.9035,-254.43,1720.96
42,0,85.0579,104.479,-14.1642,39.5656,-250.811,1710.84
43,0,84.5808,103.6,-16.2337,51.2773,-247.129,1699.54
44,0,83.4525,102.944,-18.5151,62.2342,-243.472,1687.06
45,0,82.0771,102.272,-20.6783,72.4237,-239.938,1673.56
46,0,80.6991,101.277,-22.6759,81.8499,-236.64,1659.18
47,0,79.6319,99.4407,-24.3602,90.5346,-233.783,1644.1
48,0,77.9999,98.2919,-25.9941,98.616,-231.086,1628.02
49,0,76.3621,96.8893,-27.433,106.163,-228.803,1611.22
50,0,74.687,95.4224,-28.6176,113.155,-226.856,1593.56
51,0,73.1761,93.5959,-29.7142,119.703,-225.446,1575.39
52,0,71.2979,92.0163,-31.0479,125.913,-224.467,1556.59
53,0,69.3757,90.0879,-32.1069,131.959,-224.037,1537.25
54,0,66.8721,88.7288,-33.6502,137.673,-224.111,1517.37
55,0,64.3817,86.9924,-34.9747,143.249,-224.833,1497.1
56,0,62.0501,84.9479,-36.0373,148.725,-226.232,1476.55
57,0,59.7101,82.8875,-37.0232,154.256,-228.381,1456.04
58,0,57.7974,80.322,-37.669,159.868,-231.242,1435.79
59,0,56.0658,77.8298,-38.2109,165.789,-234.751,1415.77
60,0,54.6574,73.9703,-37.5708,172.681,-238.796,1396.88
61,0,52.511,72.6247,-38.7534,179.768,-243.567,1377.41
62,0,51.0471,69.7463,-38.7144,187.231,-249.151,1358.51
63,0,49.7762,66.8474,-38.9894,194.456,-255.296,1339.93
64,0,48.7556,62.4059,-37.1418,202.23,-261.994,1321.71
65,0,46.764,59.9406,-37.3205,210.286,-268.88,1304.57
66,0,44.986,57.676,-37.7546,218.78,-276.12,1288.47
67,0,43.2893,55.9474,-38.5375,228.095,-283.564,1273.42
68,0,42.2058,54.0031,-39.264,237.992,-291.317,1259.44
69,0,41.099,51.5682,-39.5505,248.408,-299.211,1246.77
70,0,39.8666,49.4387,-40.2035,259.252,-307.451,1234.72
71,0,38.7225,46.7487,-40.2476,270.356,-316.045,1223.54
72,0,37.1171,44.3123,-40.5422,281.813,-324.918,1213.2
73,0,35.928,41.7015,-40.4753,293.645,-333.94,1203.82
74,0,33.597,40.7978,-42.8477,306.382,-342.414,1196.11
75,0,32.149,38.7393,-43.6424,319.652,-351.186,1189.37
76,0,31.4319,35.7218,-43.2681,333.544,-359.832,1184.07
77,0,31.4075,31.488,-41.4246,347.785,-368.158,1180.43
78,0,31.2936,29.1519,-42.6082,362.449,-375.945,1178.54
79,0,31.6011,26.4456,-43.0752,377.285,-383.296,1178.19
80,0,31.9448,24.1187,-43.8102,392.142,-390.373,1179.19
81,0,32.2037,21.6883,-44.057,406.797,-397.302,1181.28
82,0,32.4273,19.0742,-43.8299,421.323,-404.056,1184.31
83,0,32.4758,15.8082,-42.6548,435.648,-410.57,1188.35
84,0,32.2786,9.66636,-36.9219,449.744,-417.103,1193.34
85,0,32.1121,6.17965,-36.0891,463.533,-422.396,1200.01
86,0,32.3462,3.29428,-35.5644,477.72,-427.357,1207.88
87,0,33.0229,1.31987,-36.4065,491.728,-431.599,1217.19
88,0,33.8308,-1.24579,-36.3588,505.014,-435.11,1227.71
