Segments
100
,,Stap:segment,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
1,0,37.637,104.385,-50.9295,153.801,-664.766,1352.35
2,0,37.7947,104.679,-50.7533,153.848,-664.691,1353.4
3,0,37.8986,104.938,-50.6183,153.937,-664.631,1354.35
4,0,37.9202,105.23,-50.5626,154.018,-664.534,1355.11
5,0,37.6479,105.656,-50.7335,154.044,-664.471,1355.64
6,0,36.9161,106.454,-51.1688,154.04,-664.328,1355.9
7,0,36.4864,106.86,-51.433,153.979,-664.221,1355.99
8,0,36.0657,107.228,-51.7092,153.904,-664.072,1355.78
9,0,35.6175,107.585,-52.1012,153.863,-663.899,1355.29
10,0,35.199,107.921,-52.4944,153.914,-663.714,1354.51
11,0,35.1199,107.907,-52.6435,153.981,-663.6,1353.68
12,0,34.9265,108.123,-52.7734,154.135,-663.445,1352.53
13,0,35.0142,107.974,-52.6771,154.159,-663.324,1351.28
14,0,34.7359,108.022,-52.6825,154.268,-663.142,1349.62
15,0,34.6966,107.647,-52.6022,154.37,-663.063,1347.85
16,0,34.516,107.452,-52.4983,154.599,-662.781,1345.58
17,0,34.3633,107.068,-52.4849,155.059,-662.514,1343.05
18,0,33.9804,106.929,-52.7235,155.749,-662.094,1339.93
19,0,33.6632,106.696,-53.1495,156.728,-661.582,1336.36
20,0,33.1099,106.522,-53.869,158.008,-661.068,1332.44
21,0,32.6612,106.232,-54.5961,159.483,-660.457,1328.11
22,0,32.253,105.885,-55.3339,161.092,-659.9,1323.43
23,0,31.7232,105.537,-56.0565,162.884,-659.27,1318.49
24,0,31.2331,105.059,-56.7864,164.842,-658.736,1313.49
25,0,30.7093,104.764,-57.4947,167.074,-658.071,1308.43
26,0,30.6758,104.171,-57.9134,169.772,-657.45,1303.64
27,0,31.6087,101.423,-55.6807,173.913,-653.896,1299.82
28,0,31.7221,101.024,-56.2432,177.549,-653.028,1294.98
29,0,32.0848,100.272,-56.7177,181.622,-652.132,1290.14
30,0,32.2872,99.4363,-57.3859,186.188,-651.165,1285.25
31,0,32.1444,99.1338,-58.6628,190.839,-650.277,1280.13
32,0,32.2847,98.4316,-59.603,195.698,-649.37,1275.29
33,0,32.2459,98.3705,-60.7645,200.492,-648.458,1270.31
34,0,32.7324,97.2519,-61.1158,205.954,-647.618,1266.02
35,0,32.8574,97.1493,-62.1313,211.338,-646.691,1261.4
36,0,33.5321,96.1187,-62.4931,217.244,-645.84,1257.27
37,0,33.7313,96.0029,-63.3959,223.413,-644.788,1252.67
38,0,33.9709,95.6306,-64.5309,229.664,-643.839,1248.41
39,0,34.3637,94.8443,-65.3508,236.203,-642.858,1244.49
40,0,34.6356,94.2866,-66.2869,242.932,-641.878,1240.76
41,0,35.1969,93.4788,-66.9012,249.891,-640.953,1237.53
42,0,35.6075,92.9926,-67.6436,257.045,-639.977,1234.65
43,0,36.4064,92.2295,-67.996,264.491,-639.031,1232.18
44,0,37.0541,91.8131,-68.6397,272.005,-638.013,1229.82
45,0,38.1926,90.6563,-68.8717,279.754,-637.062,1227.85
46,0,38.7342,90.4007,-69.8744,287.987,-636.187,1226.13
47,0,39.7503,89.6199,-70.3908,296.21,-635.274,1225
48,0,40.2336,89.8907,-71.4523,304.658,-634.361,1224.16
49,0,41.0478,89.2999,-71.6269,313.176,-633.49,1224.08
50,0,42.3514,88.6652,-71.9477,321.544,-632.773,1224.38
51,0,43.3401,88.5326,-72.4053,329.852,-631.947,1224.84
52,0,44.3157,88.2389,-72.8167,338.352,-631.226,1225.85
53,0,45.2783,88.1748,-73.3269,346.863,-630.536,1226.91
54,0,46.1652,87.8644,-73.9286,355.436,-629.93,1228.48
55,0,46.9626,87.8622,-74.6312,364.024,-629.407,1230.16
56,0,47.7408,87.8921,-75.3918,372.501,-628.917,1232.23
57,0,48.6495,87.6689,-75.8468,380.896,-628.528,1234.85
58,0,49.5974,88.6995,-77.0331,388.818,-628.049,1237.5
59,0,50.9081,87.3518,-76.35,397.802,-627.717,1241.99
60,0,52.2756,87.6296,-76.4551,406.315,-627.378,1246.4
61,0,53.9082,87.6497,-76.4309,414.827,-627.104,1251.45
62,0,55.4889,87.6971,-76.5621,423.395,-626.954,1256.84
63,0,57.2026,88.03,-76.7656,431.921,-626.888,1262.4
64,0,58.9038,87.9073,-76.8992,440.278,-626.905,1268.56
65,0,60.6675,87.9612,-77.0798,448.449,-627.028,1274.91
66,0,62.2961,88.1614,-77.3087,456.583,-627.23,1281.57
67,0,63.8293,88.3703,-77.6525,464.405,-627.517,1288.48
68,0,64.9949,89.0255,-78.267,471.96,-627.821,1295.75
69,0,66.4225,88.909,-78.2453,479.155,-628.153,1303.48
70,0,67.7127,89.6221,-78.3818,485.985,-628.505,1311.46
71,0,68.8571,90.4902,-78.3474,492.662,-628.96,1319.98
72,0,70.4192,90.9834,-78.2247,498.413,-629.207,1328.82
73,0,72.1126,86.9572,-75.9699,505.612,-630.525,1339.5
74,0,73.358,86.6459,-75.4014,511.581,-631.451,1349.13
75,0,74.7466,86.7504,-75.1069,516.965,-632.162,1358.74
76,0,75.5369,96.0607,-78.1428,519.568,-631.013,1365.25
77,0,76.9585,96.4689,-77.5857,524.061,-631.557,1374.89
78,0,78.0238,96.7587,-77.1121,528.352,-632.144,1384.83
79,0,79.1063,96.5242,-76.4395,532.497,-632.842,1394.99
80,0,80.4689,95.3093,-75.5769,536.452,-633.617,1405.61
81,0,82.2054,90.0136,-73.3135,540.838,-635.008,1417.29
82,0,82.7257,97.5312,-75.2517,542.161,-634.239,1425.78
83,0,83.4358,98.5576,-74.7692,544.662,-634.747,1436.54
84,0,84.1948,99.4422,-73.8918,546.886,-635.29,1447.51
85,0,85.2532,99.7522,-72.9807,548.274,-635.666,1458.83
86,0,85.844,100.011,-71.8459,549.679,-636.25,1470.44
87,0,87.8972,93.9328,-68.3799,552.675,-638.295,1483.4
88,0,88.3474,99.3759,-69.2534,551.979,-637.673,1494.04
89,0,89.8112,98.1744,-67.6086,553.628,-639.156,1506.34
90,0,91.1977,94.8558,-65.6085,555.639,-641.395,1519.55
91,0,92.283,95.5889,-64.8225,556.307,-642.726,1531.81
92,0,93.5859,95.653,-63.7036,556.886,-644.186,1544.22
93,0,94.433,96.4195,-62.9964,556.891,-645.702,1556.66
94,0,94.855,97.4974,-62.2645,556.855,-647.337,1569.32
95,0,96.021,97.9037,-61.2097,556.167,-649.016,1582
96,0,96.8266,97.5925,-59.8975,555.931,-651.443,1595.27
97,0,97.9428,98.6915,-58.7127,554.846,-653.692,1608.08
98,0,99.229,99.1878,-57.3616,553.556,-656.324,1620.98
99,0,100.672,98.1413,-55.8544,552.418,-659.644,1634.31
100,0,101.91,98.4149,-54.5724,550.674,-662.921,1647.38
101,0,102.296,107.514,-54.1935,546.297,-663.787,1658.37
102,0,104.495,100.798,-51.7075,545.755,-669.805,1672.84
103,0,105.99,100.914,-49.9656,543.045,-673.75,1685.63
104,0,106.195,108.809,-48.8667,538.038,-675.324,1696.76
105,0,108.664,100.747,-46.2422,536.623,-681.941,1710.51
106,0,110.232,99.8749,-44.3177,532.799,-686.072,1722.52
107,0,111.3,100.103,-42.432,528.52,-689.821,1733.93
108,0,112.384,99.6228,-40.4622,524.115,-693.706,1744.98
109,0,113.477,99.1208,-38.5818,519.271,-697.219,1755.46
110,0,114.301,98.5805,-36.8354,514.182,-700.491,1765.41
111,0,114.879,98.1243,-35.2687,508.869,-703.464,1774.84
112,0,113.819,106.744,-34.2053,500.972,-702.986,1782.14
113,0,115.651,97.6181,-32.2701,497.452,-708.211,1791.8
114,0,115.918,96.9596,-30.8973,491.583,-710.299,1799.45
115,0,116.017,96.661,-29.5817,485.547,-711.924,1806.39
116,0,116.114,95.9652,-28.4696,479.344,-713.345,1812.8
117,0,116.024,95.6598,-27.3963,472.949,-714.295,1818.56
118,0,115.595,95.7276,-26.4287,466.378,-714.909,1823.71
119,0,114.194,102.743,-25.9228,457.315,-712.443,1826.85
120,0,115.275,94.5475,-24.1513,452.347,-715.177,1832.1
121,0,113.998,100.492,-23.475,442.78,-712.127,1833.97
122,0,113.592,99.3001,-22.1932,435.014,-711.235,1836.51
123,0,113.087,97.6029,-20.9796,426.989,-709.784,1838.33
124,0,112.448,95.714,-19.8688,418.634,-707.719,1839.34
125,0,111.448,94.2342,-18.9851,410.143,-705.156,1839.56
126,0,110.545,91.9238,-18.3238,401.72,-702.615,1839.28
127,0,109.277,90.8632,-17.7148,393.376,-699.477,1837.92
128,0,107.859,89.8526,-17.3027,385.162,-696.262,1835.91
129,0,106.464,89.1779,-17.0608,376.922,-692.707,1833.06
130,0,104.644,88.6236,-16.9499,368.84,-689.263,1829.73
131,0,103.213,87.7569,-16.7178,360.696,-685.701,1825.7
132,0,102.015,86.7216,-16.4926,352.431,-682.113,1821.06
133,0,100.819,85.6283,-16.2365,344.376,-678.747,1816.12
134,0,99.3714,85.282,-16.1523,336.228,-675.401,1810.58
135,0,98.3383,84.1011,-15.7746,328.146,-672.335,1804.89
136,0,97.1928,83.5002,-15.4315,320.018,-669.247,1798.55
137,0,95.9237,83.0467,-15.1284,311.699,-666.23,1791.88
138,0,95.1103,81.4032,-14.3582,303.375,-663.307,1784.72
